,2021,2022,2023,2024,2025
Ingresos,365.817,394.328,383.285,391.035,416.161
CFO,104.038,122.151,110.543,118.254,111.482
Capex,11.085,10.708,10.959,9.447,12.715
Arrendamientos financieros,0,0,0,0,0
SBC,7.906,9.038,10.833,11.688,12.863
Caja,34.94,23.646,29.965,29.943,35.934
Valores negociables,27.699,24.658,31.59,35.228,18.763
Deuda,109.106,110.087,105.103,96.662,90.678
Acciones diluidas,16.864919,16.325819,15.812547,15.408095,15.004697
FCF,92.953,111.443,99.584,108.807,98.767
FCF - SBC,85.047,102.405,88.751,97.119,85.904
