,2021,2022,2023,2024,2025
Ingresos,117.929,116.609,134.902,164.501,200.966
CFO,57.683,50.475,71.113,91.328,115.8
Capex,18.69,31.186,27.045,37.256,69.691
Arrendamientos financieros,0.677,0.85,1.058,1.969,2.524
SBC,9.164,11.992,14.027,16.69,20.427
Caja,16.601,14.681,41.862,43.889,35.873
Valores negociables,31.397,26.057,23.541,33.926,45.719
Deuda,0.0,9.923,18.385,28.826,58.744
Acciones diluidas,2.859,2.702,2.629,2.614,2.574
FCF,38.315999999999995,18.439,43.01,52.103,43.584999999999994
FCF - SBC,29.151999999999994,6.446999999999999,28.982999999999997,35.413,23.157999999999994
