,2022,2023,2024,2025,2026
Ingresos,198.27,211.915,245.122,281.724,331.839
CFO,89.035,87.582,118.548,136.162,182.935
Capex,23.886,28.107,44.477,64.551,115.948
Arrendamientos financieros,0.896,1.056,1.286,2.283,3.101
SBC,7.502,9.611,10.734,11.974,12.405
Caja,13.931,34.704,18.315,30.242,20.935
Valores negociables,90.826,76.558,57.228,64.323,55.908
Deuda,49.781,47.237,44.937,43.151,40.294
Acciones diluidas,7.54,7.472,7.469,7.465,7.453
FCF,64.253,58.419,72.785,69.328,63.88600000000001
FCF - SBC,56.751,48.80799999999999,62.050999999999995,57.354,51.48100000000001
